,importance score
RGL1,0.001295617774927369
TSEN15,0.0007043015140612901
C1orf21,0.004022094353236104
EDEM3,0.0003779739296206946
NIBAN1,0.0003520413825555804
RNF2,0.005078270743707283
TRMT1L,0.008193632780191279
SWT1,0.0008058032497225032
IVNS1ABP,0.002585812003886829
TPR,0.001224739726386394
ODR4,9.63899235987941e-05
PLA2G4A,0.0011159625628967477
ERVMER61-1,0.004698808524357756
RGS18,0.00222141919842752
AL390957.1,0.008391702788311743
RGS1,0.004748208906410748
RGS2,0.002676158960454106
UCHL5,0.0010744677514955118
RO60,4.091283796513901e-05
CDC73,0.0015234599697377844
AL136456.1,0.01682759736483533
ZBTB41,0.0002133423155906644
DENND1B,0.005626902116244755
NEK7,0.002351779427775657
PTPRC,0.09881715484579273
AL157402.2,0.003437935013626389
MIR181A1HG,0.020661126393313838
LINC00862,0.00414273035461161
ZNF281,0.0020714480447652085
DDX59,0.0012103619952356774
CAMSAP2,0.0016106277110991866
KIF21B,0.011455235935459284
AC096677.1,0.000529533767736971
NAV1,0.006409229540627519
IPO9,0.009233718597222038
TIMM17A,0.0068268358980494714
RNPEP,0.011883735768895985
ARL8A,0.008423447189720221
PTPN7,0.0016742428731628708
LGR6,0.0033960648495452153
PPP1R12B,0.002270534796166029
KDM5B,0.007363007203504383
RABIF,0.0012614749024024
KLHL12,0.0008946326234373373
ADIPOR1,0.0024485409362989116
CYB5R1,0.016125578696548775
TMEM183A,0.0001220692529059333
LINC01136,0.0001435236689799627
BTG2,0.0006378662925153587
ATP2B4,0.007214961228651792
LAX1,0.001789015182253675
SNRPE,0.00015166055142569406
AL606489.1,0.0016664651130113822
PPP1R15B,0.003633504308962905
PIK3C2B,0.004185385077666587
MDM4,0.01296476085183037
RBBP5,0.0014971730850849448
DSTYK,0.0063633569907919655
NUAK2,0.007835371882915223
ELK4,0.0033079650540037233
NUCKS1,0.005751649453916397
RAB29,0.00429729413614383
SLC41A1,0.017517716188902785
AC119673.2,0.0003668971417793699
SRGAP2,0.0013585282705456537
IKBKE,0.006917375286672349
RASSF5,0.0005131462772350789
EIF2D,0.00019392853209026904
