,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA.DR,IgD,IgG1.K.Isotype.Control,IgM,KLRG1,TCR.Va24.Ja18,TCR.Va7.2,TCR.a.b,TCR.g.d
cell_30,-0.5341382,-1.1428459,0.42817864,-0.8779092,-0.5341382,0.31410578,-0.5341382,0.42817864,-0.30351365,-0.68541574,0.3542015,-0.30351365,0.49516958,-0.12972128,0.6649341,-0.5341382,-0.8779092,1.9655174,0.009783091,-0.8779092,2.885836,-1.1428459,-1.1428459,2.5039797,-0.68541574,2.4199395,0.22640595,1.5857686,0.5851142,-0.40950188,-0.8779092,-0.5341382,-0.40950188,-0.68541574,0.49516958,0.31410578,-1.1428459,-0.30351365,-0.30351365,-1.1428459,-0.5341382,0.5851142,-0.40950188,-0.8779092,0.91655713,0.7590695
cell_31,-0.5263782,-0.8629301,-0.292482,-0.8629301,-1.4710522,0.5804967,-0.5263782,0.7555817,-0.8629301,-0.5263782,0.64335555,-0.113041446,0.5120874,-0.113041446,0.8983176,-0.8629301,-0.5263782,1.1855295,-0.5263782,0.4370521,2.9536963,-0.5263782,-0.5263782,0.8983176,-0.8629301,0.4370521,0.15511094,1.5014584,1.3946259,-0.292482,-0.292482,-1.4710522,-0.8629301,-0.5263782,0.15511094,0.35396785,-0.5263782,0.4370521,0.032571737,-1.4710522,-0.5263782,2.685263,-1.4710522,-0.8629301,1.089857,1.1855295
cell_32,-0.38591433,-0.38591433,0.16587335,-0.38591433,0.4784495,0.55890006,-0.72693354,0.4784495,0.28533956,-1.3783691,0.69753087,-0.15335211,0.023340065,-0.38591433,0.55890006,0.023340065,-0.72693354,1.4801403,0.023340065,-0.38591433,2.8330245,-1.3783691,-1.3783691,0.8663556,-1.3783691,2.5982733,-0.15335211,1.6197878,0.915037,-1.3783691,-0.72693354,-0.38591433,-0.38591433,0.16587335,0.8663556,0.55890006,-0.72693354,0.28533956,0.16587335,-1.3783691,-0.72693354,0.023340065,-1.3783691,-1.3783691,1.0829276,0.915037
cell_33,-1.2409073,-0.62376344,0.97757715,0.08792255,-1.2409073,0.33655208,-0.62376344,2.2183688,0.33655208,-0.07973025,0.66505075,-0.30035657,0.08792255,-0.30035657,0.43414867,-0.30035657,-0.30035657,0.8385492,-0.62376344,0.08792255,0.9342209,-1.2409073,0.5961843,2.8459747,-0.62376344,0.22317797,-0.62376344,1.8483934,0.97757715,0.66505075,-1.2409073,-1.2409073,-0.62376344,-0.62376344,-0.30035657,0.5961843,-0.62376344,-0.62376344,-1.2409073,-1.2409073,-1.2409073,1.6846066,-0.07973025,-1.2409073,0.5961843,1.4051614
cell_34,-0.5706658,-0.8913981,-0.5706658,0.54924405,-1.4670084,0.3514014,-0.34722012,-0.036184147,-0.17557845,0.18254703,1.9366161,-0.34722012,0.18254703,0.60501593,0.7938497,-0.8913981,-0.8913981,0.3514014,-0.8913981,-0.5706658,0.60501593,-0.8913981,-0.34722012,1.9970067,0.7938497,0.08118419,-0.036184147,1.4457326,0.7054028,-0.8913981,-1.4670084,0.7938497,-0.34722012,-0.5706658,-0.8913981,-0.17557845,-1.4670084,2.7555156,1.1512277,-1.4670084,0.7054028,0.54924405,-0.8913981,-1.4670084,0.4233497,1.6018932
cell_35,-0.6728932,-0.06632598,2.072374,0.81215864,-1.4680864,1.3346747,0.18824925,-0.06632598,1.848949,-1.4680864,0.1130801,0.47733518,0.18824925,-0.6728932,0.71705616,-1.4680864,-0.6728932,-0.17645815,-0.6728932,-0.9647142,0.8960323,-0.9647142,-0.9647142,1.3487684,0.4281635,0.9469131,0.1130801,1.038907,0.99439627,-0.9647142,-1.4680864,-0.9647142,-0.46656358,0.86915845,-0.46656358,0.71705616,-0.6728932,1.9635425,-0.46656358,-0.6728932,-0.6728932,0.47733518,-0.9647142,-1.4680864,0.4281635,1.5741254
cell_36,-1.1226271,-1.1226271,0.68100715,-0.12516432,-0.32546028,0.35089308,-1.1226271,-0.32546028,0.028925456,-1.1226271,0.68100715,0.15418124,0.25971198,-0.32546028,0.68100715,-1.1226271,0.028925456,1.8360435,-0.12516432,1.4569191,2.694229,-1.1226271,-0.32546028,0.8627048,-0.32546028,2.4409566,-1.1226271,0.90136987,1.5196311,-0.32546028,-1.1226271,0.15418124,-0.61214566,0.028925456,0.15418124,0.9379303,-0.61214566,-0.12516432,-1.1226271,-1.1226271,-1.1226271,0.5028588,-1.1226271,-1.1226271,0.5676344,1.2234776
cell_37,-1.2728059,0.20204163,0.32326454,-0.11911214,-0.34970996,0.42796892,-0.34970996,-0.11911214,0.05809343,-0.34970996,0.20204163,-0.68045866,-0.11911214,-0.34970996,0.9180747,-0.68045866,-0.68045866,1.637869,-0.68045866,-0.11911214,3.265879,-0.68045866,-1.2728059,1.3444698,-0.34970996,2.9449697,-0.11911214,1.6965629,0.5201214,-0.34970996,-1.2728059,-0.68045866,-0.68045866,-0.34970996,0.05809343,0.32326454,-0.11911214,-1.2728059,-0.34970996,-0.68045866,-0.68045866,0.5201214,-0.68045866,-1.2728059,0.8644604,1.3736713
cell_38,-1.5455316,-0.58241946,0.18736161,0.5574425,-0.35207272,0.08468061,-1.5455316,0.2775705,-0.35207272,-0.9178833,1.9832859,-0.35207272,-0.034483057,1.2812461,0.76031494,-1.5455316,-0.35207272,0.18736161,-0.9178833,-0.034483057,0.66577506,-0.58241946,-0.9178833,0.84418106,0.08468061,0.18736161,0.8034295,1.7183455,0.95453835,0.08468061,-0.9178833,1.302959,-0.9178833,-0.58241946,0.2775705,-0.17645246,-1.5455316,2.529212,1.4029242,-1.5455316,0.71454614,0.08468061,-0.9178833,-1.5455316,0.18736161,1.0199491
cell_39,-0.7211863,-1.4489132,0.6531904,-0.12949389,0.31024724,0.71839356,-0.12949389,0.41241986,-0.36631897,-1.4489132,0.58150434,-0.12949389,0.19118306,-0.36631897,0.77819026,-1.4489132,-1.4489132,1.7383623,-0.36631897,0.19118306,2.2108984,-1.4489132,-1.4489132,0.71839356,-0.7211863,0.58150434,0.048513763,1.4650475,0.93258685,-0.7211863,-0.7211863,-1.4489132,-0.36631897,-0.36631897,2.409418,1.1677386,-0.12949389,0.048513763,-0.12949389,-0.7211863,-0.36631897,0.8847002,-0.12949389,-1.4489132,0.58150434,1.5486233
cell_40,-1.3060683,-1.3060683,0.37823355,-0.27552992,-0.27552992,0.98171407,-0.27552992,0.37823355,-0.6164478,-1.3060683,0.5639439,-0.6164478,0.26294884,0.12491514,0.5639439,0.12491514,-0.6164478,1.8342932,-0.6164478,0.12491514,2.1160226,-0.6164478,-0.6164478,0.7738794,-1.3060683,2.5905044,0.12491514,1.4069012,1.2099922,0.12491514,-1.3060683,-0.6164478,-1.3060683,-0.27552992,0.26294884,0.12491514,-1.3060683,-0.27552992,-0.04710915,-1.3060683,-0.27552992,1.8857027,-0.27552992,-1.3060683,1.1050996,0.98171407
